item.copper_pickaxe 铜镐
item.copper_sword 铜剑
item.copper_axe 铜斧
item.copper_ingot 铜锭
item.iron_ingot 铁锭
item.health_potion 生命药水
item.health_potion.desc 恢复 100 点生命值
item.empty 空
item.stone 石头
item.unknown 未知
item.dirt 泥土
item.grass 草
item.planks 木板
item.water 旧水
item.water.desc 已弃用方块（用于兼容存档）
item.sand 沙子
item.lamp_white 白色灯
item.lamp_blue 蓝色灯
item.lava 旧熔岩
item.lava.desc 已弃用方块（用于兼容存档）
item.log 橡木原木
item.leaves 树叶
item.grass_tall 高草
item.workbench 工作台
item.workbench.desc 可制作更复杂的物品
item.worldBorder 世界边界
item.worldBorder.desc 如果你能获得这个，你要么在作弊，要么游戏出问题了 ):
item.copper_ore 铜矿石
item.copper_ore.desc 可冶炼成锭
item.iron_ore 铁矿石
item.iron_ore.desc 可冶炼成锭
item.coal_ore 煤矿石
item.furnace 熔炉
item.glowing_mushroom 发光蘑菇
item.torch 火把
item.crate 箱子
item.stone_brick 石砖
item.glass 玻璃
item.stone_brick_small 小石砖
item.clay 黏土
item.clay_brick_small 小黏土砖
item.copper_plated_stone 镀铜石
item.iron_plated_stone 镀铁石
item.flint_pickaxe 燧石镐
item.flint_sword 燧石剑
item.flint_axe 燧石斧
item.core 核心
item.flint 燧石
item.iron_pickaxe 铁镐
item.iron_sword 铁剑
item.iron_axe 铁斧
item.red_mushroom 红蘑菇
item.allumerium_ore 阿卢梅里姆矿石
item.chest 箱子
item.silver_pickaxe 银镐
item.silver_sword 银剑
item.silver_axe 银斧
item.gold_pickaxe 金镐
item.gold_sword 金剑
item.gold_axe 金斧
item.silver_ingot 银锭
item.gold_ingot 金锭
item.sandstone 砂岩
item.snow 雪
item.ice 冰
item.silver_ore 银矿石
item.gold_ore 金矿石
item.silver_plated_stone 镀银石
item.gold_plated_stone 镀金石
item.sandstone_brick 砂岩砖
item.snow_brick 雪砖
item.stone_block 石块
item.lamp_red 红色灯
item.lamp_green 绿色灯
item.flint_hammer 锤子
item.flint_hammer.desc 可改变方块形状
item.bagel 贝果
item.everything_bagel 全料贝果
item.everything_bagel.desc 什么都有的那种。
item.nothing_bagel 空空贝果
item.nothing_bagel.desc 给我一个什么都不加的贝果。
item.blueberry 蓝莓
item.birch_log 白桦木原木
item.maple_log 枫木原木
item.maple_leaves 枫树叶
item.blueberry_bush 蓝莓灌木
item.door 门

item.copper_helmet 铜头盔
item.iron_helmet 铁头盔
item.silver_helmet 银头盔
item.gold_helmet 金头盔

item.copper_chestplate 铜胸甲
item.iron_chestplate 铁胸甲
item.silver_chestplate 银胸甲
item.gold_chestplate 金胸甲
item.copper_greaves 铜护腿
item.iron_greaves 铁护腿
item.silver_greaves 银护腿
item.gold_greaves 金护腿
item.dynamite 炸药
item.dynamite.desc 很适合拿来玩接球
item.daffodil 黄水仙
item.rose 玫瑰
item.dandelion 蒲公英
item.cobblestone 圆石
item.potion_station 药水台
item.cooking_station 烹饪台
item.ladder 梯子
item.dynamite_block 炸药块
